날짜,PM10_MIN,PM10_MAX,PM10_AVG
2008-04-28,47.0,93.0,75.5
2008-04-29,53.0,128.0,85.2
2008-04-30,34.0,130.0,73.5
2008-05-01,35.0,85.0,55.6
2008-05-02,42.0,95.0,59.8
2008-05-03,18.0,85.0,46.1
2008-05-04,0.0,70.0,44.9
2008-05-05,0.0,99.0,43.4
2008-05-06,37.0,102.0,71.2
2008-05-07,0.0,76.0,38.4
2008-05-08,36.0,94.0,62.2
2008-05-09,30.0,67.0,47.5
2008-05-10,7.0,40.0,25.4
2008-05-11,2.0,62.0,29.3
2008-05-12,16.0,68.0,32.7
2008-05-13,0.0,28.0,7.5
2008-05-14,0.0,32.0,16.0
2008-05-15,4.0,122.0,28.5
2008-05-16,18.0,97.0,41.7
2008-05-17,25.0,91.0,54.0
2008-05-18,31.0,88.0,63.2
2008-05-19,0.0,119.0,45.4
2008-05-20,18.0,76.0,49.0
2008-05-21,0.0,120.0,69.1
2008-05-22,54.0,123.0,88.0
2008-05-23,45.0,133.0,70.7
2008-05-24,37.0,135.0,72.0
2008-05-25,13.0,67.0,37.9
2008-05-26,27.0,109.0,62.9
2008-05-27,28.0,126.0,67.4
2008-05-28,0.0,44.0,19.6
2008-05-29,22.0,98.0,48.8
2008-05-30,49.0,932.0,366.6
2008-05-31,49.0,153.0,100.5
2008-06-01,45.0,93.0,66.8
2008-06-02,37.0,77.0,58.0
2008-06-03,0.0,52.0,8.6
2008-06-04,0.0,23.0,9.3
2008-06-05,0.0,26.0,9.0
2008-06-06,6.0,102.0,49.9
2008-06-07,42.0,99.0,72.1
2008-06-08,0.0,117.0,68.0
2008-06-09,37.0,103.0,64.0
2008-06-10,40.0,121.0,85.7
2008-06-11,14.0,94.0,43.4
2008-06-12,0.0,85.0,44.7
2008-06-13,36.0,87.0,65.7
2008-06-14,8.0,87.0,40.3
2008-06-15,0.0,38.0,20.0
2008-06-16,3.0,37.0,16.1
2008-06-17,0.0,38.0,16.8
2008-06-18,0.0,33.0,14.0
2008-06-19,15.0,126.0,65.4
2008-06-20,62.0,144.0,97.4
2008-06-21,5.0,100.0,56.9
2008-06-22,0.0,20.0,5.4
2008-06-23,2.0,64.0,15.2
