date,TA_AVG,TA_MAX,TA_MIN
1907-10-01,13.5,20.7,7.9
1907-10-02,16.2,22.0,7.9
1907-10-03,16.2,21.3,13.1
1907-10-04,16.5,22.0,11.2
1907-10-05,17.6,25.4,10.9
1907-10-06,13.0,21.3,11.2
1907-10-07,11.3,16.1,6.3
1907-10-08,8.9,14.9,3.9
1907-10-09,11.6,21.1,3.8
1907-10-10,14.2,24.1,6.4
1907-10-11,15.4,20.4,10.1
1907-10-12,13.9,17.4,11.1
1907-10-13,13.8,21.3,8.3
1907-10-14,13.0,20.6,6.1
1907-10-15,13.1,20.9,5.7
1907-10-16,14.1,20.2,8.2
1907-10-17,16.4,21.6,10.3
1907-10-18,14.3,20.9,9.8
1907-10-19,13.9,21.3,6.7
1907-10-20,18.3,22.7,12.4
1907-10-21,15.2,19.9,10.7
1907-10-22,15.4,19.6,12.1
1907-10-23,13.1,16.3,8.1
1907-10-24,9.7,17.1,3.3
1907-10-25,12.7,18.7,6.2
1907-10-26,11.8,18.2,7.2
1907-10-27,14.0,20.7,7.7
1907-10-28,13.8,19.6,8.4
1907-10-29,14.3,20.0,10.7
1907-10-30,12.2,20.1,6.7
1907-10-31,13.4,20.3,5.2
1907-11-01,16.1,21.3,11.7
1907-11-02,14.2,21.1,9.1
1907-11-03,6.4,11.1,2.3
1907-11-04,5.9,13.6,-1.0
1907-11-05,8.6,17.0,1.7
1907-11-06,9.5,18.1,3.6
1907-11-07,5.7,12.4,0.0
1907-11-08,4.1,9.4,-0.7
1907-11-09,6.9,11.9,0.7
1907-11-10,7.9,13.2,1.7
1907-11-11,10.3,13.4,8.2
1907-11-12,9.9,14.9,5.4
1907-11-13,9.5,16.4,3.7
1907-11-14,9.5,15.2,5.1
1907-11-15,11.3,17.6,3.9
1907-11-16,11.6,12.6,10.1
1907-11-17,6.6,11.7,0.7
1907-11-18,0.6,6.7,-2.7
1907-11-19,0.4,4.3,-2.5
1907-11-20,2.7,7.1,-1.2
1907-11-21,2.2,6.2,-3.5
1907-11-22,8.9,11.2,3.2
1907-11-23,7.7,9.9,5.9
1907-11-24,-1.1,5.9,-5.0
1907-11-25,-4.5,-0.7,-7.3
1907-11-26,-1.0,1.5,-5.7
1907-11-27,-1.1,1.9,-6.1
1907-11-28,-2.7,2.0,-8.5
1907-11-29,-0.2,2.9,-4.6
1907-11-30,-6.6,-2.4,-8.9
1907-12-01,-4.6,1.4,-10.5
1907-12-02,-3.1,3.4,-9.0
1907-12-03,1.9,6.1,-2.6
1907-12-04,-1.2,1.3,-2.7
1907-12-05,-1.0,2.6,-6.9
